"Набор мини-ковриков для ванны противоскользящих 6шт, ПВХ, 6 дизайнов, VETTA ""Цветные""",475
"VETTA Корзинка плетеная ""Амелия"" 22х22х8см, 2 дизайна",475
"Карниз для ванной, алюминий, 2м, серебристый, VETTA",461
"VETTA Сумка хозяйственная ""Клетка"", 70x55x30см, 115 литров, до 10кг, полипропилен, 2 цвета",335
"VETTA Сумка хозяйственная трехслойная, 34х40х12,5см, 17л, до 10кг, полиэстер, золотая",335
"Ночник в розетку с датчиком света 8 LED, подсветка стены, пластик/металл",335
"VETTA Романтика Полочка для ванной комнаты на присосках, пластик, 26х7х8,5см, 3 цвета",279
"Аккумулятор Forza Ni-Mh 600mAh AAА 2шт в блистере 1,2В",279
"Коврик придверный 40x60см, полиэстер, резина",251
"VETTA Термометр оконный Биметаллический (-50 +50), блистер",181
"Светильник 4 LED точечный нажимной, d.6,5 см, 3xААА, пластик",149
"Мешки для мусора 240 л., 10 шт., прочные, ПВД, герои",139
"Мат антискользящий декоративный универсальный, 30х90см, ПВХ, 6 цветов",139
Разветвитель 3 гнезда,125
"Ведро пластмассовое 7 л, без крышки ПБ",99
"VETTA Планка с 3 крючками, самоклеящаяся, 2,5х12см, нерж.сталь 430",97
"Ерш бутылочный, 27 см, VETTA",69
"VETTA Накладки - протекторы на углы, 4см, ПВХ, 2 дизайна",69
"Ковш пластмассовый 1 л, цвет микс",59
"Батарейки, 10 шт, LR44 (G13) щелочная, BL, FORZA",49
"Перчатки резиновые желтые, M, VETTA",39
"Пакеты для замораживания перфорированные в рулоне 30 шт, 3л, 14 мкм",29
"Мыльница RUNIS, цвет микс",27
"Форма для запекания, алюминиевая фольга, d20,5cм, дно d16,7см, 1405мл, L-край, 99-02",17
"NORDWALL Сушилка для белья напольная ""бабочка"" Gamma, 18 м, 141х53х89 см",2086
"VETTA Набор ковриков 2шт для ванной и туалета, фланель, 45x75см + 45х45см, ""Милан"", 4 цвета",1330
"FORZA Лента светодиодная белая 5м, 3,5 Вт, 220В",1119
"VETTA Шторка для ванной, полиэстер, 180х180см, «Просторы», 2 диз.",909
"BY Швабра с насадкой из хлопка, вес 240 гр., длина ручки, 148 см",741
"VETTA Коврик придверный ""Швеция"", 80х60см, 2 цвета",741
"VETTA Корзина подвесная на полку, 35х26х13,5см, металл",657
"Коврик для ванны противоскользящий, ПВХ, 67x37см, 4 цвета, VETTA ""Сфера""",657
"VETTA Шторка для ванной, ПЕВА, 180x180см, ""Горошек"", 5 цветов",559
"BY ВУАЛЬ  Кофр для хранения нижнего белья, 32х32х12см,6 секций, 2 цвета",503
"Карниз для ванной, нерж.сталь, 2м",489
"VETTA Сумка хозяйственная, оксфорд 210D, 60х40х22см, 50 литров, до 25кг, 3 цвета",419
"VETTA Дозатор для жидкого мыла, ""Конфетка"", керамика, 6 диз/цв",349
"Вакуумный пакет VETTA, 73х130 см",321
"VETTA Набор универсальных крышек, 6шт, размеры от 6,5см до 19см, силикон, 3 цвета",321
"Лоток для столовых приборов, 5 секций, 33х26х4,5 см, пластик, ""Кантри"" арт.4846",279
"VETTA Замок велосипедный противоугонный тросовый, эконом, металл, ПВХ, пластик, 12x800мм",279
"Светильник с выключателем FORZA, 9 COB, 3хААА, 10х8см пластик",265
"VETTA Чехол для гладильной доски ""Лучшая цена"" на шнурке, 130x47см, полиэстер, подкладка иск.войлок",199
"Вантуз гофрированный, h29см",167
"Чехол для сиденья унитаза, искусственный мех, ПВХ, 44х37см, 5 цветов, ""Велюр-2""",139
"VETTA Щетка для посуды с мыльницей и дозатором, пластик, 8см",139
"VETTA Набор вешалок металлических, ПВХ покрытие, 41 см",129
"VETTA Кольца для шторок в ванную, 12шт, пластик, 6х4см, прозрачные",125
"Шнурки для обуви, 6 пар, черные, белые, коричневые, 1м",125
"EGOIST Защита для пятки 2шт, ТЭП W-718",111
"Адаптер-переходник, евро, 10-16А, 250V",97
"Держатель для моющих средств Vetta, цвет микс",91
"VETTA Набор салфеток для стирки против окрашивания 20шт, 25х12см",89
"Мешки для мусора с завязками 35 л., 15 шт.,стандарт, зелёные, рулон, герои",69
"Лампа светодиодная свеча FORZA С37, 7W, E14, 560lm, 4000К",59
"Набор губок для удаления пятен, меламин, 9х6х3 см, 2шт, VETTA",49
"Пакеты для льда VETTA, полиэтилен, 216 шариков, 25 мкм",29
"Рукав для запекания в пакете, 30см x 3м",29
"VETTA Сумка хозяйственная с вырубленной ручкой, нетканый материал, 40х50см, до 4кг, полипропилен",29
"Батарейки солевые ""Первая цена"", тип ААА (R03), 4 шт",24
"VETTA Сушилка для белья напольная, окраш.сталь, 18м",1946
"VETTA Набор ковриков 2шт для ванной и туалета, акрил, 50x80см + 50x50см, бежевый 4 дизайна",1386
"VETTA Коврик универсальный круглый, иск.мех, акрил, d70см, 4 цвета",1386
"Полка настенная, двойная с крючком, ARTEX Slim, арт. 27 10 34",1119
"VETTA Набор ковриков для ванной и туалета, фланель, 45x70см + 45x45см, ""Нежность"", 4 цвета",1021
"VETTA Ёрш для туалета ""Вертикаль"", керамика, 3 цвета",881
